Wall time,Step,Value
1714039137.620545,5000,26.09964370727539
1714048728.52581,10000,26.179821014404297
1714049483.4636126,15000,26.22560691833496
1714050538.0907643,20000,26.24006462097168
1714054151.9983208,25000,26.25310707092285
1714055183.7199388,30000,26.270610809326172
1714055937.5540621,35000,26.278074264526367
1714056692.0527377,40000,26.28074836730957
1714057596.0877094,45000,26.296899795532227
1714058444.4494944,50000,26.29861831665039
1714059288.5324407,55000,26.303077697753906
1714060045.6422234,60000,26.315141677856445
1714060880.4140835,65000,26.3170108795166
1714061638.6591146,70000,26.319929122924805
1714062395.3909829,75000,26.32589340209961
1714063151.5420392,80000,26.32746124267578
1714063910.376707,85000,26.337976455688477
1714064717.174371,90000,26.338138580322266
1714065538.9862583,95000,26.3416690826416
1714066298.16776,100000,26.343355178833008
1714067056.5067601,105000,26.345552444458008
1714067812.9924657,110000,26.348697662353516
1714068568.6245499,115000,26.34922218322754
1714069334.8199754,120000,26.354656219482422
1714070093.1282086,125000,26.357524871826172
1714070849.7802217,130000,26.35576057434082
1714071607.6074545,135000,26.35785484313965
1714072372.3529866,140000,26.358253479003906
1714073138.3439317,145000,26.358409881591797
1714073896.9299128,150000,26.363447189331055
1714074654.8777208,155000,26.31924819946289
1714075433.9589944,160000,26.315364837646484
1714076193.64875,165000,26.319568634033203
1714077068.9677632,170000,26.32352066040039
1714077824.967297,175000,26.326189041137695
1714078869.4187539,180000,26.334383010864258
1714079996.4396975,185000,26.33096694946289
1714080810.778889,190000,26.336673736572266
1714081567.9224343,195000,26.34197998046875
1714082340.591125,200000,26.345584869384766
1714083136.772735,205000,26.345582962036133
1714083905.2102518,210000,26.351320266723633
1714084658.4689999,215000,26.356887817382812
1714085411.7566907,220000,26.360336303710938
1714086432.6706877,225000,26.36272430419922
1714087225.8073423,230000,26.36426544189453
1714087978.8032212,235000,26.367319107055664
1714088735.7886643,240000,26.372793197631836
1714089541.03802,245000,26.378259658813477
1714090295.363066,250000,26.378433227539062
1714091213.8842568,255000,26.381681442260742
1714092100.7716708,260000,26.383934020996094
1714092863.0853505,265000,26.38796043395996
1714093622.2867928,270000,26.3890438079834
1714094383.0895457,275000,26.390995025634766
1714095239.196196,280000,26.393245697021484
1714096165.3352883,285000,26.395368576049805
1714097134.040687,290000,26.394197463989258
1714097953.9148593,295000,26.39397430419922
1714098847.4842854,300000,26.395645141601562
1714098956.1728535,300002,26.395645141601562
